question_id,text,label,hint,order
1,Dưới 21 ngày,A,Chu kỳ ngắn,1
1,21-25 ngày,B,Chu kỳ ngắn,2
1,26-30 ngày,C,Chu kỳ dài,3
1,Trên 30 ngày,D,Chu kỳ dài,4
2,Không có thai,A,Liên quan đến tình trạng mang thai,1
2,Đang mang thai,B,Liên quan đến tình trạng mang thai,2
2,Đang cho con bú,C,Khác/không có,3
2,Đang cố gắng có thai,D,Liên quan đến tình trạng mang thai,4
3,Không sử dụng,A,Không áp dụng hoặc không có,1
3,Bao cao su,B,Biện pháp tránh thai - bao cao su,2
3,Thuốc tránh thai,C,Liên quan đến tình trạng mang thai,3
3,Vòng tránh thai,D,Liên quan đến tình trạng mang thai,4
3,Khác,E,Khác/không có,5
4,Dưới 7 ngày trước,A,Khác/không có,1
4,7-14 ngày trước,B,Khác/không có,2
4,15-21 ngày trước,C,Chu kỳ ngắn,3
4,Hơn 21 ngày trước,D,Chu kỳ ngắn,4
5,Không đau,A,Không áp dụng hoặc không có,1
5,Đau nhẹ,B,Khác/không có,2
5,Đau vừa,C,Khác/không có,3
5,Đau dữ dội,D,Khác/không có,4
6,Đỏ tươi,A,Khác/không có,1
6,Đỏ sẫm,B,Khác/không có,2
6,Nâu,C,Khác/không có,3
6,Đen,D,Khác/không có,4
7,Ít,A,Khác/không có,1
7,Trung bình,B,Khác/không có,2
7,Nhiều,C,Khác/không có,3
7,Rất nhiều,D,Khác/không có,4
8,Đau bụng,A,Khác/không có,1
8,Đau lưng,B,Khác/không có,2
8,Mệt mỏi,C,Khác/không có,3
8,Tâm trạng thay đổi,D,Khác/không có,4
8,Mụn,E,Khác/không có,5
8,Không có triệu chứng,F,Khác/không có,6
9,Chưa từng,A,Không áp dụng hoặc không có,1
9,Thỉnh thoảng,B,Khác/không có,2
9,Thường xuyên,C,Khác/không có,3
10,Không có,A,Khác/không có,1
10,U xơ tử cung,B,Không áp dụng hoặc không có,2
10,Lạc nội mạc tử cung,C,Khác/không có,3
10,Viêm âm đạo,D,Khác/không có,4
10,Khác,E,Khác/không có,5
11,Không,A,Khác/không có,1
11,Thỉnh thoảng,B,Không áp dụng hoặc không có,2
11,Thường xuyên,C,Khác/không có,3
12,Không,A,Khác/không có,1
12,Ít khi,B,Không áp dụng hoặc không có,2
12,Thường xuyên,C,Khác/không có,3
12,Rất thường xuyên,D,Khác/không có,4
13,Chưa từng,A,Khác/không có,1
13,Thỉnh thoảng,B,Khác/không có,2
13,Thường xuyên,C,Khác/không có,3
14,Không thay đổi,A,Khác/không có,1
